Var5,Var7,Var11,Var12,Var13
AB8E3A,2025/08/12 01:45:41.822,4300,42.4446191718131,-71.3044307423488
AB8E3A,2025/08/12 01:45:42.711,4300,42.4450511973063,-71.3047799233439
AB8E3A,2025/08/12 01:45:44.787,4300,42.4460418092078,-71.3056131459383
AB8E3A,2025/08/12 01:45:48.360,4300,42.4477658024656,-71.3070505276866
AB8E3A,2025/08/12 01:45:50.526,4300,42.4488025916834,-71.3079120301637
AB8E3A,2025/08/12 01:45:51.596,4300,42.4493092574991,-71.3083307981817
AB8E3A,2025/08/12 01:46:12.834,4324.95417252898,42.4594154198255,-71.3166966103897
AB8E3A,2025/08/12 01:46:13.356,4325.5365496428,42.459697226408,-71.316921345522
AB8E3A,2025/08/12 01:46:14.884,4326.98674768165,42.4604125153479,-71.3175113595532
AB8E3A,2025/08/12 01:46:15.426,4326.7933114777,42.4606642268645,-71.3177138147831
AB8E3A,2025/08/12 01:46:15.858,4326.62896511404,42.4608643404899,-71.3178827798316
AB8E3A,2025/08/12 01:46:59.336,4325.00616145702,42.4803352823394,-71.3344321373826
AB8E3A,2025/08/12 01:47:02.661,4306.01689977378,42.4819447693102,-71.3357713265439
A372E0,2025/08/12 01:15:42.415,10150,42.50999,-71.3975296909492
A372E0,2025/08/12 01:15:43.925,10125,42.5094000500212,-71.39534439558
A372E0,2025/08/12 01:15:45.380,10100.7511671554,42.5088575232889,-71.3928229131511
A372E0,2025/08/12 01:15:46.463,10080.5412564973,42.5084528866243,-71.390950981754
A372E0,2025/08/12 01:15:46.930,10073.1448489276,42.5082770023948,-71.3900922188891
A372E0,2025/08/12 01:15:47.399,10067.7461574211,42.5081135116111,-71.3892995519017
A372E0,2025/08/12 01:15:47.983,10055.9802176003,42.507903227903,-71.3882802679199
A372E0,2025/08/12 01:15:48.961,10042.5935156869,42.5075375562091,-71.3865318351312
A372E0,2025/08/12 01:15:49.388,10039.5328051883,42.5073860446151,-71.3857765364401
A372E0,2025/08/12 01:15:49.842,10030.6895647533,42.5072318316874,-71.3849871300938
A372E0,2025/08/12 01:15:50.336,10023.4056566467,42.5070508515744,-71.3840941817146
A372E0,2025/08/12 01:15:50.908,10016.931987377,42.5068489709099,-71.3831476590497
A372E0,2025/08/12 01:15:51.328,10008.2606810818,42.5066832697824,-71.3823679150627
A372E0,2025/08/12 01:15:51.883,9999.68737891436,42.5064894271059,-71.38140229108
A372E0,2025/08/12 01:15:52.290,9994.72985367039,42.5063501654627,-71.3807360455135
A372E0,2025/08/12 01:15:52.838,9983.97407510506,42.50614903813,-71.3797639372699
A372E0,2025/08/12 01:15:53.365,9975.50861877556,42.5059568908769,-71.3788143184903
